103,298,287
142,273,264
159,308,300
121,296,288
132,256,289
144,318,279
157,283,257
157,305,261
152,331,286
154,300,267
160,324,303
210,314,309
175,319,312
139,305,291
153,304,318
125,339,280
152,277,255
134,271,282
166,285,293
155,312,307
127,321,300
128,274,256
166,303,296
164,333,270
175,310,243
154,243,235
199,312,282
136,316,267
162,260,242
173,283,252
166,299,318
166,300,317
168,280,256
172,254,249
173,311,298
146,336,265
138,321,293
169,253,234
166,241,286
218,106,221
234,107,245
264,145,256
279,88,234
241,142,233
261,138,252
289,121,256
290,146,238
257,148,278
251,137,259
279,94,240
294,159,270
287,131,246
250,130,237
298,139,259
291,121,261
279,166,258
259,72,207
312,129,216
329,147,220
277,110,266
271,103,240
284,80,220
316,108,216
322,124,237
248,106,218
302,172,240
311,109,232
288,135,262
324,156,220
338,108,249
261,104,268
289,138,210
267,113,235
294,149,304
286,126,270
288,135,248
283,104,193
312,148,241
363,125,50
384,138,40
379,153,65
377,76,13
465,165,92
452,185,99
462,185,85
422,171,80
436,176,127
463,172,104
454,192,91
425,147,99
506,157,97
495,122,71
461,153,110
460,152,107
460,168,102
449,156,109
455,166,102
471,163,98
476,146,70
466,173,79
486,184,115
497,177,85
483,180,85
440,148,87
460,160,85
480,159,97
477,186,104
415,158,81
494,162,97
481,139,95
472,156,79
480,173,114
478,192,111
470,168,63
494,171,87
464,137,46
467,193,87
450,180,82
391,184,84
416,184,85
207,201,101
217,188,114
213,117,89
206,128,119
230,164,114
184,180,117
201,189,128
185,170,170
221,179,139
257,246,150
185,136,132
226,186,123
245,183,127
237,198,173
236,240,146
243,196,127
155,180,141
212,168,144
212,231,167
186,199,140
192,214,110
214,247,139
248,199,154
176,188,139
235,202,134
220,195,122
235,149,132
194,199,111
215,149,106
257,207,154
216,199,131
243,212,134
221,226,120
245,269,188
255,208,134
225,226,176
186,203,155
172,187,172
213,210,151
198,192,152
232,191,151
20,35,35
25,15,20
0,0,0
20,35,15
25,40,25
20,15,15
0,0,0
35,25,15
35,15,10
25,0,10
5,0,0
30,10,15
20,0,0
35,20,5
5,0,0
20,0,5
20,20,10
20,35,35
25,15,20
0,0,0
20,35,15
25,40,25
10,15,15
0,0,0
35,25,15
35,15,10
25,5,10
5,0,0
30,10,15
20,0,0
35,20,5
5,0,0
20,0,5
20,20,10
